Source,ID,Type,DOI,Title,Authors,Journal,Year,Abstract,Updated Abstract,LitmapsId,Cited By,References,PubMedId,Tags,File Source,URL,pages
Litmap,,,10.18653/v1/2025.acl-long.723,Towards Robust ESG Analysis Against Greenwashing Risks: Aspect-Action Analysis with Cross-Category Generalization,"Keane Ong, Rui Mao, Deeksha Varshney, Erik Cambria, Gianmarco Mengaldo",(missing journal),2025,(missing abstract),"Sustainability reports are key for evaluating companies’ environmental, social and governance (ESG) performance. To analyze these reports, NLP approaches can efficiently extract ESG insights at scale. However, even the most advanced NLP methods lack robustness against ESG content that is greenwashed – i.e. sustainability claims that are misleading, exaggerated, and fabricated. Accordingly, existing NLP approaches often extract insights that reflect misleading or exaggerated sustainability claims rather than objective ESG performance. To tackle this issue, we introduce A3CG - Aspect-Action Analysis with Cross-Category Generalization, as a novel dataset to improve the robustness of ESG analysis amid the prevalence of greenwashing. By explicitly linking sustainability aspects with their associated actions, A3CG facilitates a more fine-grained and transparent evaluation of sustainability claims, ensuring that insights are grounded in verifiable actions rather than vague or misleading rhetoric. Additionally, A3CG emphasizes cross-category generalization. This ensures robust model performance in aspect-action analysis even when companies change their reports to selectively favor certain sustainability areas. Through experiments on A3CG, we analyze state-of-the-art supervised models and LLMs, uncovering their limitations and outlining key directions for future research.
",289554060,1,0,,,,https://aclanthology.org/2025.acl-long.723/,
Litmap,,,10.18653/v1/2025.trl-1.8,RITT: A Retrieval-Assisted Framework with Image and Text Table Representations for Table Question Answering,"Wei Zhou, Mohsen Mesgar, Heike Adel, Annemarie Friedrich",(missing journal),2025,(missing abstract),"Tables can be represented either as text or as images. Previous works on table question answering (TQA) typically rely on only one representation, neglecting the potential benefits of combining both. In this work, we explore integrating textual and visual table representations using multi-modal large language models (MLLMs) for TQA. Specifically, we propose RITT, a retrieval-assisted framework that first identifies the most relevant part of a table for a given question, then dynamically selects the optimal table representations based on the question type. Experiments demonstrate that our framework significantly outperforms the baseline MLLMs by an average of 13 Exact Match and surpasses two text-only state-of-the-art TQA methods on four TQA benchmarks, highlighting the benefits of leveraging both textual and visual table representations.
",289561959,0,0,,,,https://aclanthology.org/2025.trl-1.8.pdf,
Litmap,,,10.48448/0f13-w782,Extracting Linguistic Information from Large Language Models: Syntactic Relations and Derivational Knowledge,"Association for Computational Linguistics 2025, Di Marco, Marion, Fraser, Alexander, Temesgen, Tsedeniya",Underline Science Inc.,2025,"This paper presents a study of the linguistic knowledge and generalization capabilities of large language models (LLMs), focusing on their morphosyntactic competence. We design three diagnostic tasks: (i) labeling syntactic information - subjects, objects, and indirect objects (at the sentence level), (ii) morphological decomposition of derivational words - identifying morpheme boundaries and labeling each morpheme's, and (iii) in-depth study of morphological decomposition in German and Amharic languages. We evaluate prompting strategies in GPT-4o and LLaMA 3.3-70B to extract different types of linguistic structure for typologically diverse languages. Our results show that GPT-4o consistently outperforms LLaMA in all tasks; however, both models exhibit shared limitations and show little evidence of abstract morphological rule learning. Importantly, we show strong evidence that the models do not learn morphological patterns, therefore raising important doubts about their ability to generalize, particularly in low-resource settings.",,294019438,0,0,,,,,
Litmap,,,10.48448/pcbq-p396,Layer-wise Minimal Pair Probing Reveals Contextual Grammatical-Conceptual Hierarchy in Speech Representations,"Association for Computational Linguistics 2025, He Linyang, Jiang Xi-lin, Mesgarani, Nima, Wang Qiaolin",Underline Science Inc.,2025,"Transformer-based speech language models (SLMs) have significantly improved neural speech recognition and understanding. While existing research has examined how well SLMs encode shallow acoustic and phonetic features, the extent to which SLMs encode nuanced syntactic and conceptual features remains unclear. By drawing parallels with linguistic competence assessments for large language models, this study is the first to systematically evaluate the presence of contextual syntactic and semantic features across SLMs for self-supervised learning (S3M), automatic speech recognition (ASR), speech compression (codec), and as the encoder for auditory large language models (AudioLLMs). Through minimal pair designs and diagnostic feature analysis across 71 tasks spanning diverse linguistic levels, our layer-wise and time-resolved analysis uncovers that 1) all speech encode grammatical features more robustly than conceptual ones. 2) Despite never seeing text, S3M match or surpass ASR encoders on every linguistic level, demonstrating that rich grammatical and even conceptual knowledge can arise purely from audio. 3) S3M representations peak mid-network and then crash in the final layers, whereas ASR and AudioLLM encoders maintain or improve, reflecting how pre-training objectives reshape late-layer content. 4) Temporal probing further shows that S3Ms encode grammatical cues 500 ms before a word begins, whereas AudioLLMs distribute evidence more evenly—indicating that objectives shape not only where but also when linguistic information is most salient. Together, these findings establish the first large-scale map of contextual syntax and semantics in speech models and highlight both the promise and the limits of current SLM training paradigms.",,294106818,0,0,,,,,
Litmap,,,10.48448/n075-ah42,"ESGenius: Benchmarking LLMs on Environmental, Social, and Governance (ESG) and Sustainability Knowledge","Association for Computational Linguistics 2025, He, Chaoyue, LIU Wei, Lyu, Shengfei, Miao Chunyan, Wang Di, Wu Yi, Xiao-qiao Wang, Xu Hong, Yu, Xinjia, Zhang Yan, Zhang Lei, Zhou Xin",Underline Science Inc.,2025,"We introduce \textbf{ESGenius}, a comprehensive benchmark for evaluating and enhancing the proficiency of Large Language Models (LLMs) in Environmental, Social and Governance (ESG) and sustainability-focused question answering. \textbf{ESGenius} comprises three key components: (i) \textbf{ESGenius-QA}, a collection of \textbf{1,136} MCQs generated by LLMs and rigorously validated by domain experts, covering a broad range of ESG pillars and sustainability topics. Each question is systematically linked to its corresponding source text, enabling transparent evaluation and supporting Retrieval-Augmented Generation (RAG) methods; and (ii) \textbf{ESGenius-Corpus}, a meticulously curated repository of \textbf{225} foundational frameworks, standards, reports, and recommendation documents from \textbf{7} authoritative sources. Moreover, to fully assess the capabilities and adaptation potential of the model, we implement a rigorous two-stage evaluation protocol---\emph{Zero-Shot} and \emph{RAG}. Extensive experiments across \textbf{50} LLMs (ranging from 0.5B to 671B parameters) demonstrate that state-of-the-art models achieve only moderate performance in zero-shot settings, with accuracies mostly around 55-70%, highlighting ESGenius's challenging nature. However, models employing RAG demonstrate significant performance improvements, particularly for smaller models. For example, DeepSeek-R1-Distill-Qwen 14B improves from 63.82% in the zero-shot setting to 80.46% with RAG. These results demonstrate the necessity of grounding responses in authoritative sources for enhanced ESG understanding. To our best of knowledge, ESGenius is the first benchmark curated for LLMs and the relevant enhancement technologies, focusing on ESG and sustainability topics.",,294168878,0,0,,,,,
aclanthology_abstract,chen-etal-2023-multi-lingual-esg,inproceedings,10.18653/v1/2023.finnlp-2.6,Multi-Lingual {ESG} Impact Type Identification,"Chen, Chung-Chi and Tseng, Yu-Min and Kang, Juyeonand Lhuissier, Ana{\""i}s and Seki, Yohei and Day, Min-Yuhand Tu, Teng-Tsai and Chen, Hsin-Hsi",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"Assessing a company{'}s sustainable development goes beyond just financial metrics; the inclusion of environmental, social, and governance (ESG) factors is becoming increasingly vital. The ML-ESG shared task series seeks to pioneer discussions on news-driven ESG ratings, drawing inspiration from the MSCI ESG rating guidelines. In its second edition, ML-ESG-2 emphasizes impact type identification, offering datasets in four languages: Chinese, English, French, and Japanese. Of the 28 teams registered, 8 participated in the official evaluation. This paper presents a comprehensive overview of ML-ESG-2, detailing the dataset specifics and summarizing the performance outcomes of the participating teams.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.6/,46--50
aclanthology_abstract,qiu-etal-2023-identifying,inproceedings,10.18653/v1/2023.finnlp-2.7,Identifying {ESG} Impact with Key Information,"Qiu, Le and Peng, Bo and Gu, Jinghangand Hsu, Yu-Yin and Chersoni, Emmanuele",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"The paper presents a concise summary of our work for the ML-ESG-2 shared task, exclusively on the Chinese and English datasets. ML-ESG-2 aims to ascertain the influence of news articles on corporations, specifically from an ESG perspective. To this end, we generally explored the capability of key information for impact identification and experimented with various techniques at different levels. For instance, we attempted to incorporate important information at the word level with TF-IDF, at the sentence level with TextRank, and at the document level with summarization. The final results reveal that the one with GPT-4 for summarisation yields the best predictions.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.7/,51--56
aclanthology_abstract,vardhan-etal-2023-low,inproceedings,10.18653/v1/2023.finnlp-2.8,A low resource framework for Multi-lingual {ESG} Impact Type Identification,"Vardhan, Harsha and Ghosh, Sohomand Kumaraguru, Ponnurangamand Naskar, Sudip",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"With the growing interest in Green Investing, Environmental, Social, and Governance (ESG) factors related to Institutions and financial entities has become extremely important for investors. While the classification of potential ESG factors is an important issue, identifying whether the factors positively or negatively impact the Institution is also a key aspect to consider while making evaluations for ESG scores. This paper presents our solution to identify ESG impact types in four languages (English, Chinese, Japanese, French) released as shared tasks during the FinNLP workshop at the IJCNLP-AACL-2023 conference. We use a combination of translation, masked language modeling, paraphrasing, and classification to solve this problem and use a generalized pipeline that performs well across all four languages. Our team ranked 1st in the Chinese and Japanese sub-tasks.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.8/,57--61
aclanthology_abstract,polyanskaya-brillet-2023-gpt,inproceedings,10.18653/v1/2023.finnlp-2.9,{GPT}-based Solution for {ESG} Impact Type Identification,"Polyanskaya, Anna and Brillet, Lucas Fern{\'a}ndez",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"In this paper, we present our solutions to the ML-ESG-2 shared task which is co-located with the FinNLP workshop at IJCNLP-AACL-2023. The task proposes an objective of binary classification of ESG-related news based on what type of impact they can have on a company - Risk or Opportunity. We report the results of three systems, which ranked 2nd, 9th, and 10th in the final leaderboard for the English language, with the best solution achieving over 0.97 in F1 score.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.9/,62--65
aclanthology_abstract,winatmoko-septiandri-2023-risk,inproceedings,10.18653/v1/2023.finnlp-2.10,The Risk and Opportunity of Data Augmentation and Translation for {ESG} News Impact Identification with Language Models,"Winatmoko, Yosef Ardhitoand Septiandri, Ali",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"This paper presents our findings in the ML-ESG-2 task, which focused on classifying a news snippet of various languages as ``Risk'' or ``Opportunity'' in the ESG (Environmental, Social, and Governance) context. We experimented with data augmentation and translation facilitated by Large Language Models (LLM). We found that augmenting the English dataset did not help to improve the performance. By fine-tuning RoBERTa models with the original data, we achieved the top position for the English and second place for the French task. In contrast, we could achieve comparable results on the French dataset by solely using the English translation, securing the third position for the French task with only marginal F1 differences to the second-place model.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.10/,66--71
aclanthology_abstract,mishra-2023-esg,inproceedings,10.18653/v1/2023.finnlp-2.11,{ESG} Impact Type Classification: Leveraging Strategic Prompt Engineering and {LLM} Fine-Tuning,"Mishra, Soumya",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"In this paper, we describe our approach to the ML-ESG-2 shared task, co-located with the FinNLP workshop at IJCNLP-AACL-2023. The task aims at classifying news articles into categories reflecting either ``Opportunity'' or ``Risk'' from an ESG standpoint for companies. Our innovative methodology leverages two distinct systems for optimal text classification. In the initial phase, we engage in prompt engineering, working in conjunction with semantic similarity and using the Claude 2 LLM. Subsequently, we apply fine-tuning techniques to the Llama 2 and Dolly LLMs to enhance their performance. We report the results of five different approaches in this paper, with our top models ranking first in the French category and sixth in the English category.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.11/,72--78
aclanthology_abstract,billert-conrad-2023-exploring,inproceedings,10.18653/v1/2023.finnlp-2.12,Exploring Knowledge Composition for {ESG} Impact Type Determination,"Billert, Fabianand Conrad, Stefan",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"In this paper, we discuss our (Team HHU{'}s) submission to the Multi-Lingual ESG Impact Type Identification task (ML-ESG-2). The goal of this task is to determine if an ESG-related news article represents an opportunity or a risk. We use an adapter-based framework in order to train multiple adapter modules which capture different parts of the knowledge present in the training data. Experimenting with various Adapter Fusion setups, we focus both on combining the ESG-aspect-specific knowledge, and on combining the language-specific-knowledge. Our results show that in both cases, it is possible to effectively compose the knowledge in order to improve the impact type determination.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.12/,79--83
aclanthology_abstract,veeramani-etal-2023-enhancing,inproceedings,10.18653/v1/2023.finnlp-2.13,Enhancing {ESG} Impact Type Identification through Early Fusion and Multilingual Models,"Veeramani, Hariram and Thapa, Surendrabikramand Naseem, Usman",Proceedings of the Sixth Workshop on Financial Technology and Natural Language ProcessingAssociation for Computational Linguistics,2023,"In the evolving landscape of Environmental, Social, and Corporate Governance (ESG) impact assessment, the ML-ESG-2 shared task proposes identifying ESG impact types. To address this challenge, we present a comprehensive system leveraging ensemble learning techniques, capitalizing on early and late fusion approaches. Our approach employs four distinct models: mBERT, FlauBERT-base, ALBERT-base-v2, and a Multi-Layer Perceptron (MLP) incorporating Latent Semantic Analysis (LSA) and Term Frequency-Inverse Document Frequency (TF-IDF) features. Through extensive experimentation, we find that our early fusion ensemble approach, featuring the integration of LSA, TF-IDF, mBERT, FlauBERT-base, and ALBERT-base-v2, delivers the best performance. Our system offers a comprehensive ESG impact type identification solution, contributing to the responsible and sustainable decision-making processes vital in today{'}s financial and corporate governance landscape.",,,,,,,data.bib,https://aclanthology.org/2023.finnlp-2.13/,84--90
aclanthology_abstract,mishra-etal-2024-statements,inproceedings,10.18653/v1/2024.climatenlp-1.15,Statements: Universal Information Extraction from Tables with Large Language Models for {ESG} {KPI}s,"Mishra, Lokeshand Dhibi, Sohayl and Kim, Yusik and Berrospi Ramis, Cesarand Gupta, Shubham and Dolfi, Micheleand Staar, Peter",Proceedings of the 1st Workshop on Natural Language Processing Meets Climate Change (ClimateNLP 2024)Association for Computational Linguistics,2024,"Environment, Social, and Governance (ESG) KPIs assess an organization{'}s performance on issues such as climate change, greenhouse gas emissions, water consumption, waste management, human rights, diversity, and policies. ESG reports convey this valuable quantitative information through tables. Unfortunately, extracting this information is difficult due to high variability in the table structure as well as content. We propose Statements, a novel domain agnostic data structure for extracting quantitative facts and related information. We propose translating tables to statements as a new supervised deep-learning universal information extraction task. We introduce SemTabNet - a dataset of over 100K annotated tables. Investigating a family of T5-based Statement Extraction Models, our best model generates statements which are 82{\%} similar to the ground-truth (compared to baseline of 21{\%}). We demonstrate the advantages of statements by applying our model to over 2700 tables from ESG reports. The homogeneous nature of statements permits exploratory data analysis on expansive information found in large collections of ESG reports.",,,,,,,data.bib,https://aclanthology.org/2024.climatenlp-1.15/,193--214
aclanthology_abstract,lee-etal-2024-esg,inproceedings,10.18653/v1/2024.findings-emnlp.387,{ESG}-Kor: A {K}orean Dataset for {ESG}-related Information Extraction and Practical Use Cases,"Lee, Jaeyoungand Son, Geonyeong and Kim, Misuk",Findings of the Association for Computational Linguistics: EMNLP 2024Association for Computational Linguistics,2024,"With the expansion of pre-trained language model usage in recent years, the importance of datasets for performing tasks in specialized domains has significantly increased. Therefore, we have built a Korean dataset called ESG-Kor to automatically extract Environmental, Social, and Governance (ESG) information, which has recently gained importance. ESG-Kor is a dataset consisting of a total of 118,946 sentences that extracted information on each ESG component from Korean companies' sustainability reports and manually labeled it according to objective rules provided by ESG evaluation agencies. To verify the effectiveness and applicability of the ESG-Kor dataset, classification performance was confirmed using several Korean pre-trained language models, and significant performance was obtained. Additionally, by extending the ESG classification model to documents of small and medium enterprises and extracting information based on ESG key issues and in-depth analysis, we demonstrated potential and practical use cases in the ESG field.",,,,,,,data.bib,https://aclanthology.org/2024.findings-emnlp.387/,6627--6643
aclanthology_abstract,ong-etal-2025-towards-robust,inproceedings,10.18653/v1/2025.acl-long.723,Towards Robust {ESG} Analysis Against Greenwashing Risks: Aspect-Action Analysis with Cross-Category Generalization,"Ong, Keaneand Mao, Ruiand Varshney, Deeksha and Cambria, Erikand Mengaldo, Gianmarco",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)Association for Computational Linguistics,2025,"Sustainability reports are key for evaluating companies' environmental, social and governance (ESG) performance. To analyze these reports, NLP approaches can efficiently extract ESG insights at scale. However, even the most advanced NLP methods lack robustness against ESG content that is greenwashed {--} i.e. sustainability claims that are misleading, exaggerated, and fabricated. Accordingly, existing NLP approaches often extract insights that reflect misleading or exaggerated sustainability claims rather than objective ESG performance. To tackle this issue, we introduce A3CG - \textbf{A}spect-\textbf{A}ction \textbf{A}nalysis with Cross-\textbf{C}ategory \textbf{G}eneralization, as a novel dataset to improve the robustness of ESG analysis amid the prevalence of greenwashing. By explicitly linking sustainability aspects with their associated actions, A3CG facilitates a more fine-grained and transparent evaluation of sustainability claims, ensuring that insights are grounded in verifiable actions rather than vague or misleading rhetoric. Additionally, A3CG emphasizes cross-category generalization. This ensures robust model performance in aspect-action analysis even when companies change their reports to selectively favor certain sustainability areas. Through experiments on A3CG, we analyze state-of-the-art supervised models and LLMs, uncovering their limitations and outlining key directions for future research.",,,,,,,data.bib,https://aclanthology.org/2025.acl-long.723/,14854--14879
aclanthology_abstract,ahmed-etal-2025-enhancing,inproceedings,10.18653/v1/2025.climatenlp-1.1,Enhancing Retrieval for {ESGLLM} via {ESG}-{CID}: A Disclosure Content Index Finetuning Dataset for Mapping {GRI} and {ESRS},"Ahmed, Shafiuddin Rehan and Shah, Ankitand Tran, Quan Hung and Khetan, Vivekand Kang, Sukryool and Mehta, Ankitand Bao, Yujiaand Wei, Wei",Proceedings of the 2nd Workshop on Natural Language Processing Meets Climate Change (ClimateNLP 2025)Association for Computational Linguistics,2025,"Climate change has intensified the need for transparency and accountability in organizational practices, making Environmental, Social, and Governance (ESG) reporting increasingly crucial. Frameworks like the Global Reporting Initiative (GRI) and the new European Sustainability Reporting Standards (ESRS) aim to standardize ESG reporting, yet generating comprehensive reports remains challenging due to the considerable length of ESG documents and variability in company reporting styles. To facilitate ESG report automation, Retrieval-Augmented Generation (RAG) systems can be employed, but their development is hindered by a lack of labeled data suitable for training retrieval models. In this paper, we leverage an underutilized source of weak supervision{---}the disclosure content index found in past ESG reports{---}to create a comprehensive dataset, ESG-CID, for both GRI and ESRS standards. By extracting mappings between specific disclosure requirements and corresponding report sections, and refining them using a Large Language Model as a judge, we generate a robust training and evaluation set. We benchmark popular embedding models on this dataset and show that fine-tuning BERT-based models can outperform commercial embeddings and leading public models, even under temporal data splits for cross-report style transfer from GRI to ESRS.",,,,,,,data.bib,https://aclanthology.org/2025.climatenlp-1.1/,1--16
aclanthology_abstract,he-etal-2025-esgenius,inproceedings,10.18653/v1/2025.emnlp-main.739,"{ESG}enius: Benchmarking {LLM}s on Environmental, Social, and Governance ({ESG}) and Sustainability Knowledge","He, Chaoyueand Zhou, Xinand Wu, Yi and Yu, Xinjia and Zhang, Yan and Zhang, Lei and Wang, Di and Lyu, Shengfeiand Xu, Hongand Xiaoqiao, Wang and Liu, Wei and Miao, Chunyan",Proceedings of the 2025 Conference on Empirical Methods in Natural Language ProcessingAssociation for Computational Linguistics,2025,"We introduce \textbf{ESGenius}, a comprehensive benchmark for evaluating and enhancing the proficiency of Large Language Models (LLMs) in Environmental, Social, and Governance (ESG) and sustainability-focused question answering. \textbf{ESGenius} comprises two key components: (i) \textbf{ESGenius-QA}, a collection of \textbf{1,136} Multiple-Choice Questions (MCQs) generated by LLMs and rigorously validated by domain experts, covering a broad range of ESG pillars and sustainability topics. Each question is systematically linked to its corresponding source text, enabling transparent evaluation and supporting Retrieval-Augmented Generation (RAG) methods; and (ii) \textbf{ESGenius-Corpus}, a meticulously curated repository of \textbf{231} foundational frameworks, standards, reports, and recommendation documents from \textbf{7} authoritative sources. Moreover, to fully assess the capabilities and adaptation potential of LLMs, we implement a rigorous two-stage evaluation protocol{---}\textit{Zero-Shot} and \textit{RAG}. Extensive experiments across \textbf{50} LLMs (0.5B to 671B) demonstrate that state-of-the-art models achieve only moderate performance in zero-shot settings, with accuracies around 55{--}70{\%}, highlighting a significant knowledge gap for LLMs in this specialized, interdisciplinary domain. However, models employing RAG demonstrate significant performance improvements, particularly for smaller models. For example, DeepSeek-R1-Distill-Qwen-14B improves from 63.82{\%} (zero-shot) to 80.46{\%} with RAG. These results demonstrate the necessity of grounding responses in authoritative sources for enhanced ESG understanding. To the best of our knowledge, ESGenius is the first comprehensive QA benchmark designed to rigorously evaluate LLMs on ESG and sustainability knowledge, providing a critical tool to advance trustworthy AI in this vital domain.",,,,,,,data.bib,https://aclanthology.org/2025.emnlp-main.739/,14612--14653
aclanthology_abstract,huang-etal-2025-multilingual-promise,inproceedings,,Multilingual Promise Verification in {ESG} Reports with Large Language Model Performance Evaluation,"Huang, Wei-Chen and Lu, Hsin-Ting and Chen, Wen-Zeand Day, Min-Yuh",Proceedings of the 37th Conference on Computational Linguistics and Speech Processing (ROCLING 2025)Association for Computational Linguistics,2025,"Corporate ESG reports often contain statements that are vague or difficult to verify, creating room for potential greenwashing. Building automated systems to evaluate such claims is therefore a relevant research direction. Yet, existing analytical tools still show limited ability to verify sustainability promises in multiple languages, especially beyond English. This study examines how large language models (GPT-5) perform in verifying ESG-related promises across Chinese, Japanese, and English reports, aiming to provide a multilingual evaluation baseline. We assess four verification tasks using the PromiseEval datasets [1] in three languages, comparing five prompting strategies from zero-shot to five-shot learning, including Chain-of-Thought reasoning. The four subtasks are Promise Identification (PI), Evidence Status Assessment (ESA), Evidence Quality Evaluation (EQE), and Verification Timeline Prediction (VTP). The five-shot setting achieved the highest overall performance (71.12 {\%} accuracy, 51.92 {\%} Macro-F1). Although the accuracy results appear higher for Chinese (85.12 {\%}) than for Japanese (68.94 {\%}) and English (63.62 {\%}), this mainly reflects class imbalance in the data. Hence, Macro-F1 provides a fairer comparison across languages. Among the four tasks, Evidence Quality Evaluation (EQE) remains the most difficult. While Chain-of-Thought prompting slightly lowers the overall average, it shows selective benefit on the more complex EQE task. Overall, this work offers a clearer multilingual baseline for ESG promise verification and supports the development of language-based tools that enhance the credibility and transparency of sustainability reporting.",,,,,,,data.bib,https://aclanthology.org/2025.rocling-main.32/,303--313
aclanthology_abstract,sun-sobczak-2025-qm,inproceedings,,{QM}-{AI} at {S}em{E}val-2025 Task 6: an Ensemble of {BERT} Models for Promise Identification in {ESG} Context,"Sun, Zihangand Sobczak, Filip",Proceedings of the 19th International Workshop on Semantic Evaluation (SemEval-2025)Association for Computational Linguistics,2025,"This paper presents our approach and findings in the SemEval-2025 Task 6: Multinational, Multilingual, Multi-industry Promise Verification (PromiseEval), which focuses on verifying promises in the industrial Environmental, Social, and Governance (ESG) reports. Specifically, we participate in the first subtask of the PromiseEval shared task, promise identification. We tackle this subtask by building an ensemble of four BERT models trained in different experimental configurations, and deploying logistic regression as meta-model. Each configuration has a different combination of two variables: whether augmented data is used, and whether English translation is used. We find out that the BERT model trained without augmented data or English translation not only has the best evaluation results on the test data in most languages, but also has higher robustness than the meta-model. We submitted results from the meta-model to the leaderboard, and rank the first place in Japanese and Korean, the second place in French and Chinese, and the seventh place in English.",,,,,,,data.bib,https://aclanthology.org/2025.semeval-1.34/,228--233
